TYPE,TEXTUREID,X,Y,NAME
Room,graphics\Catacombs2.png,0,0,room
RoomFloor,graphics\CatacombsFloor.png,0,0,roomfloor
mapObj,,134.999985,-208.999985,poop
mapObj,,135.999969,-177.000000,poop
mapObj,,135.999969,-144.000000,poop
mapObj,,143.999985,141.000015,poop
mapObj,,-175.999985,-210.999985,poop
mapObj,,-180.999985,-181.000015,poop
mapObj,,-180.999985,-149.999985,poop
mapObj,,143.999985,172.000015,poop
mapObj,,143.999985,204.000000,poop
mapObj,,-173.000000,143.000015,poop
mapObj,,-173.999985,177.999985,poop
mapObj,,-171.999985,204.000000,poop
mapObj,,128.000015,-7.999995,rock
mapObj,,-168.999985,-12.000004,rock
monster,,-18.000006,-26.999992,monstro
