TYPE,TEXTUREID,X,Y,NAME
Room,graphics\Catacombs2.png,0,0,room
RoomFloor,graphics\CatacombsFloor.png,0,0,roomfloor
mapObj,,-18,-68,poop
mapObj,,-39,-49,poop
mapObj,,9,24,poop
mapObj,,46,19,poop
mapObj,,56,-13,poop
mapObj,,37,-42,poop
mapObj,,10,-69,poop
mapObj,,-164,-28,poop
mapObj,,-164,4,poop
mapObj,,-145,26,poop
mapObj,,-351,-201,rock
mapObj,,360,-206,rock
mapObj,,-361,188,rock
mapObj,,361,188,rock
mapObj,,-189,-199,rock
mapObj,,207,-208,rock
mapObj,,-166,186,rock
mapObj,,195,184,rock
monster,,-277,-201,charger
monster,,290,-201,charger
monster,,-369,-76,charger
monster,,374,-81,charger
