TYPE,TEXTUREID,X,Y,NAME
Room,graphics\Catacombs2.png,0,0,room
RoomFloor,graphics\CatacombsFloor.png,0,0,roomfloor
mapObj,,-366.999969,-201.000015,web
mapObj,,-321.999969,-201.000015,web
mapObj,,-370.999969,-159.999985,web
mapObj,,56.999977,-29.999998,web
mapObj,,13.999998,-27.999994,web
mapObj,,38.999973,4.000008,web
mapObj,,72.000023,-4.000008,web
mapObj,,-349.000000,199.999985,web
mapObj,,-315.999969,195.000000,web
mapObj,,-287.999969,204.000000,web
mapObj,,362.999939,190.999985,rock
mapObj,,-27.000008,-19.999998,rock
mapObj,,-57.999996,24.000008,rock
mapObj,,-7.999986,26.000011,rock
mapObj,,50.000008,51.999981,web
mapObj,,26.000021,77.000008,web
monster,,-277.000000,-151.000000,dinga
monster,,-141.999985,126.000008,dinga
monster,,-9.999990,-120.999992,dinga
monster,,302.999969,197.000000,dinga
